id_movimentacao,data,tipo,categoria,descricao,valor,responsavel
9178,2026-07-15,Entrada,Folha,Licença software,7001.27,Carlos Eduardo
9179,2026-07-16,Saida,Energia,Pagamento fornecedor,3596.34,Elaine Moura
9180,2026-07-17,Entrada,Energia,Compra material,4617.59,Samuel Rocha
9181,2026-07-19,Entrada,Folha,Pagamento imposto,4420.55,Helena Ferreira
9182,2026-07-20,Saida,Aluguel,Pagamento aluguel,8493.01,Debora Martins
9183,2026-07-21,Saida,Fornecedores,Licença software,1887.31,Beatriz Martins
9184,2026-07-22,Saida,Aluguel,Pagamento imposto,13760.2,Yasmin Alves
9185,2026-07-23,Saida,Recebimentos,Pagamento aluguel,10837.76,Daniel Almeida
9186,2026-07-24,Saida,Tecnologia,Compra material,6081.54,Thiago Rezende
9187,2026-07-25,Entrada,Recebimentos,Recebimento de cliente,2463.5,Camila Oliveira Santos
9188,2026-07-26,Entrada,Energia,Recebimento de cliente,13241.68,Isabela Ramos
9189,2026-07-27,Entrada,Outros,Licença software,12374.29,Valeria Campos
9190,2026-07-28,Entrada,Vendas,Pagamento imposto,10853.65,Isabela Ramos
9191,2026-07-30,Saida,Tecnologia,Folha salarial,4146.05,Marcelo Pinto
9192,2026-07-31,Entrada,Energia,Pagamento aluguel,6096.45,Marcelo Pinto
9193,2026-08-01,Entrada,Aluguel,Pagamento fornecedor,1630.95,Henrique Dias
9194,2026-08-02,Entrada,Aluguel,Pagamento imposto,2916.69,Natalia Gomes
9195,2026-08-03,Entrada,Aluguel,Pagamento fornecedor,11766.95,Patricia Teixeira
9196,2026-08-04,Entrada,Outros,Pagamento imposto,10754.08,Wesley Martins
9197,2026-08-05,Entrada,Recebimentos,Folha salarial,8942.94,Carlos Eduardo
9198,2026-08-06,Entrada,Vendas,Folha salarial,13446.33,Caio Ribeiro
9199,2026-08-07,Entrada,Aluguel,Licença software,8790.67,Fabio Correia
9200,2026-08-08,Entrada,Tecnologia,Licença software,7057.82,Daniel Almeida
9201,2026-08-10,Saida,Fornecedores,Folha salarial,5171.52,Fabio Correia
9202,2026-08-11,Entrada,Vendas,Conta de energia,14112.68,Thiago Rezende
9203,2026-08-12,Entrada,Outros,Folha salarial,1332.46,Igor Mendes
9204,2026-08-13,Saida,Vendas,Recebimento de cliente,13970.22,Raquel Mendes
9205,2026-08-14,Entrada,Fornecedores,Recebimento de cliente,12418.05,Eduardo Martins
9206,2026-08-15,Saida,Tecnologia,Conta de energia,2035.96,Samuel Rocha
9207,2026-08-16,Saida,Fornecedores,Compra material,8518.27,Leonardo Vieira
9208,2026-08-17,Entrada,Folha,Pagamento aluguel,13011.56,Vinicius Castro
9209,2026-08-18,Saida,Tecnologia,Compra material,8619.96,Jonas Farias
9210,2026-08-19,Entrada,Vendas,Pagamento fornecedor,13617.28,Lucas Carvalho
9211,2026-08-21,Saida,Aluguel,Compra material,14150.46,Patricia Teixeira
9212,2026-08-22,Entrada,Vendas,Pagamento imposto,6393.53,Leonardo Vieira
9213,2026-08-23,Saida,Vendas,Compra material,5721.97,Henrique Dias
9214,2026-08-24,Entrada,Tecnologia,Pagamento imposto,14051.19,Beatriz Martins
9215,2026-08-25,Saida,Folha,Conta de energia,10159.59,Valeria Campos
9216,2026-08-26,Saida,Vendas,Recebimento de cliente,1828.74,Renata Moreira
9217,2026-08-27,Entrada,Energia,Licença software,730.15,Yasmin Alves
9218,2026-08-28,Entrada,Impostos,Pagamento imposto,8512.97,Fabio Correia
9219,2026-08-29,Saida,Impostos,Recebimento de cliente,13959.55,Caio Ribeiro
9220,2026-08-31,Saida,Vendas,Pagamento aluguel,12679.31,Gabriel Rodrigues
